voice,seed,score,presentation,tabletop,casual,separation,upper_arm_opening,path
wayne_050_horror_movies,1,3.422818427235088,-2.9248456954956055,-3.0317537784576416,1.4730877876281738,0.690182109673818,0.3006799469391505,casbot_w1/train_overfit/sequences/wayne_050_horror_movies__seed1.npz
wayne_005_example,1,2.7664979947200323,-2.542229413986206,-3.409703016281128,1.7449088096618652,0.7245057821273804,0.2767016490300496,casbot_w1/train_overfit/sequences/wayne_005_example__seed1.npz
wayne_050_horror_movies,0,0.5099613656086093,-5.405496120452881,-2.4597151279449463,-7.49492073059082,0.5482368965943655,0.3624827563762665,casbot_w1/train_overfit/sequences/wayne_050_horror_movies__seed0.npz
wayne_005_example,0,0.35852457595599807,-4.978729724884033,-2.634969472885132,-6.016026020050049,0.4992602467536926,0.40298648675282794,casbot_w1/train_overfit/sequences/wayne_005_example__seed0.npz
wayne_100_huge,1,0.301917603154271,-2.898062229156494,-2.7555134296417236,-11.451828956604004,0.47329501310984295,0.23356962203979492,casbot_w1/train_overfit/sequences/wayne_100_huge__seed1.npz
wayne_102_walk,0,-0.23946126365113732,-5.251172065734863,-2.636813163757324,-6.065216064453125,0.4315810998280843,0.4054936468601227,casbot_w1/train_overfit/sequences/wayne_102_walk__seed0.npz
wayne_100_huge,0,-0.7328703170218545,-5.712457656860352,-2.9565117359161377,-2.5548391342163086,0.4541890025138855,0.3774903217951457,casbot_w1/train_overfit/sequences/wayne_100_huge__seed0.npz
wayne_004_fantastic,0,-0.7984481114296565,-4.871671676635742,-2.9687349796295166,-4.726752758026123,0.4129110376040141,0.37848488489786786,casbot_w1/train_overfit/sequences/wayne_004_fantastic__seed0.npz
wayne_001_relaxing,0,-0.8086393285179916,-5.908621788024902,-2.800630807876587,-7.05704402923584,0.5628387928009033,0.3920831580956777,casbot_w1/train_overfit/sequences/wayne_001_relaxing__seed0.npz
wayne_004_fantastic,1,-1.0251051982762092,-2.870619297027588,-3.2275748252868652,-10.982351303100586,0.48364558815956116,0.2558732330799103,casbot_w1/train_overfit/sequences/wayne_004_fantastic__seed1.npz
wayne_001_relaxing,1,-1.296520924290958,-3.064462184906006,-3.2511813640594482,-11.599004745483398,0.5016705592473348,0.2658395618200302,casbot_w1/train_overfit/sequences/wayne_001_relaxing__seed1.npz
wayne_102_walk,1,-2.4586748234861804,-3.3891968727111816,-3.493482828140259,-11.20068359375,0.46147390206654865,0.23894809683163962,casbot_w1/train_overfit/sequences/wayne_102_walk__seed1.npz
